Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
114781.0,0.018689871,0.7716607790000001,-0.749187624,-0.9511676490000001,1.7773783890000001,1.253345665,0.572302829,0.538009135,-0.162268511,-0.775618639,0.980027323,0.22255239899999998,-0.7702471340000001,-0.625276077,-0.05020235,-0.135271817,0.7676895859999999,-0.7785133000000001,-0.7771844370000001,-0.094226555,-0.257252841,-0.554723238,0.10122239400000001,-1.06849104,-0.611554036,0.22649766300000002,0.262847327,0.055777892,2.69,0
48085.0,-1.178632776,0.9955052390000001,-0.188585952,-0.593402616,1.602327997,-0.104239157,0.438498385,0.568131347,-1.094846088,-1.384997349,0.466181209,0.319534396,0.36087531100000003,-0.7319947259999999,-0.125353518,1.0190581429999999,0.255746044,0.7342029290000001,-0.43672740600000004,-0.030785391000000002,0.029102859,-0.214390888,-0.396394198,-1.427232881,0.24613491,0.297649699,-0.062072377000000005,-0.03361686,0.76,0
84380.0,1.1162704890000001,-0.526007789,0.8694028220000001,-0.935721582,-0.816128075,0.43214432399999997,-0.8596501679999999,0.41553846200000005,1.615478135,-0.987801253,1.642614047,1.386758086,-0.574820385,0.18647667,1.122927665,-0.8176986140000001,0.190641444,-0.17277865899999997,0.124219719,-0.204957182,0.090753637,0.524952217,0.017111584,-0.274118332,0.308718596,-0.6433630929999999,0.12034651,0.0174512,1.0,0
80374.0,-0.423961484,1.106520283,1.421554644,-0.0037378409999999996,0.103379156,-0.786667248,0.6326053620000001,0.019185122,-0.78675091,-0.36115647100000003,1.806551466,1.1096365559999999,0.8054304309999999,-0.379423109,0.09138762800000001,0.480254639,-0.213417916,0.19171128,0.117066667,0.17673155,-0.187085865,-0.475545565,-0.008258882,0.506491711,-0.18953560600000002,0.039170412,0.24653303699999998,0.092613591,1.29,0
68284.0,0.083971923,-2.6240881330000003,-0.628863016,-0.020813809,-1.533310261,-0.515722585,0.529307375,-0.30250272699999997,-1.083476111,0.49434187399999996,0.9091451840000001,0.49811683,-0.161846255,0.435378841,-0.623323379,-1.497556313,0.102755536,1.267990633,-0.382411063,0.8357090909999999,-0.000604664,-0.950965999,-0.597064545,0.400743525,0.14875973,1.005359949,-0.199839273,0.102223336,668.63,0
127819.0,2.046541751,-0.0077672819999999995,-1.050484149,0.416052794,-0.072266972,-1.193719779,0.259726105,-0.39127097,0.397234075,0.041785301000000004,-0.572283513,0.94320115,1.0065363520000001,0.090221557,-0.063030505,-0.15093345,-0.338449239,-0.9865109320000001,0.13378441900000002,-0.147617854,-0.272878148,-0.62457799,0.32278072,0.072537956,-0.270689701,0.191349982,-0.066107863,-0.056395274,9.99,0
80775.0,-0.6694679570000001,1.25275346,2.07626403,1.1384520009999999,0.9483532729999999,0.030055395,1.14196908,-0.165735035,-1.201867263,0.10826775599999999,-1.376840597,-0.8080118479999999,-0.081916735,-0.094370623,0.10019767,1.0778096259999999,-1.2534658840000001,-0.113169285,-1.063555175,-0.027620177000000003,-0.30110324899999996,-0.892535022,-0.30161087,-0.527813503,0.33636454,-0.321672236,-0.157130555,-0.160555809,7.99,0
124360.0,1.616698805,-0.84978155,-2.019380915,-0.157013201,0.99946902,1.288207264,0.069814239,0.222812445,0.070930025,0.09904165300000001,1.113434139,1.131682864,0.683196074,0.574420697,0.744985853,-0.41387630299999995,-0.198035509,-0.909958508,-0.799328678,0.177473422,0.40973517600000003,0.946733765,-0.09987681400000001,-0.844580294,-0.125276335,0.8467947659999999,-0.081098083,-0.057710189,189.75,0
125685.0,1.946266157,-1.6366245640000001,0.554405516,-0.454761629,-2.0491405719999998,0.16864861899999997,-1.827249574,0.224055945,1.223297434,0.46589830200000004,-1.3703025930000001,-0.213552729,0.170816594,-1.34214669,-0.7045136209999999,1.075081631,0.411800337,-0.980599001,0.521698266,0.082447227,0.38656737799999996,1.303392729,0.095487758,-0.021357974,-0.34922161399999996,-0.025488699,0.068935895,-0.022287467000000002,75.0,0
142746.0,1.874600605,-1.231523409,-2.7891203780000002,-0.9573329279999999,0.025270471,-1.270960248,0.61733194,-0.5329327070000001,-1.187957147,1.054817774,0.297001815,-0.126115434,-0.864618958,1.055428798,-0.8366389390000001,-1.932576075,-0.009795253,1.138544175,-0.16089519900000002,-0.246643558,0.012955413999999998,0.156685609,-0.281693605,-0.371855938,0.273567739,1.6315990830000002,-0.213749098,-0.083651169,208.14,0
